critic,fresh,imdb,publication,quote,review_date,rtid,title
Geoff Pevere,rotten,337909.0,Toronto Star,"There's a terrific comedy buried somewhere here about moral hypocrisy and community panic, but it never fully emerges.",2003-12-19,10412.0,Calendar Girls
Moira MacDonald,fresh,337909.0,Seattle Times,A heartwarmer of a story.,2003-12-19,10412.0,Calendar Girls
Ruthe Stein,fresh,337909.0,San Francisco Chronicle,A charming movie.,2003-12-19,10412.0,Calendar Girls
,fresh,106519.0,Time Out,"Pacino looks every inch a movie star, and De Palma provides a timely reminder of just how impoverished the Hollywood lexicon has become since the glory days of the '70s.",2006-06-24,16865.0,Carlito's Way
Janet Maslin,fresh,106519.0,New York Times,"""Carlito's Way"" is best watched as lively, colorful posturing and as a fine demonstration of this director's bravura visual style.",2003-05-20,16865.0,Carlito's Way
Roger Ebert,fresh,106519.0,Chicago Sun-Times,"""Carlito's Way,"" like ""Scarface,"" is first and last a character study, a portrait of a man who wants to be better than he is.",2000-01-01,16865.0,Carlito's Way
Hal Hinson,rotten,106519.0,Washington Post,"About halfway through, the overwhelming fact that the movie is a complete nothing becomes too much to ignore.",2000-01-01,16865.0,Carlito's Way
Desson Thomson,rotten,106519.0,Washington Post,Pacino has his moments but for the most part he's surprisingly underwhelming. He's a great actor but even I can do a better Puerto Rican accent.,2000-01-01,16865.0,Carlito's Way
,fresh,106519.0,Entertainment Weekly,A competent and solidly unsurprising urban-underworld thriller: De Palma's imitation of a middle-drawer Sidney Lumet movie.,1993-01-01,16865.0,Carlito's Way
Christopher Harris,fresh,106582.0,Globe and Mail,it has truly awe-inspiring stunts and special effects and many of its suspense sequences will leave you with your heart in your mouth.,2013-08-03,16194.0,Cliffhanger
Jeff Shannon,rotten,106582.0,Seattle Times,"The fact that so much money was lavished on such a thick-headed project represents the height of fiscal ineptitude, but this is the kind of roller-coaster ride for which eager audiences will gladly check their brains at the turnstiles, so go figure.",2013-08-03,16194.0,Cliffhanger
Steven Rea,fresh,106582.0,Philadelphia Inquirer,"The cinematography and gravity-defying stunt performances are exhilarating. The story, alas, is pure routine.",2013-08-03,16194.0,Cliffhanger
Jay Boyar,rotten,106582.0,Orlando Sentinel,Some movies get you so excited - so revved up on action and thrills -- that you almost feel like you're flying. Cliffhanger makes you feel like you're dropping.,2013-08-03,16194.0,Cliffhanger
Anthony Lane,rotten,106582.0,New Yorker,"That rasping tension is soon smoothed away, as the plot sets off on its daft and hackneyed course.",2013-08-03,16194.0,Cliffhanger
Kenneth Turan,rotten,106582.0,Los Angeles Times,"Cliffhanger no doubt makes for a great coming attraction, but as a two-hour movie its claims are much more problematic.",2013-08-03,16194.0,Cliffhanger
Gene Siskel,rotten,106582.0,Chicago Tribune,Take away the mountains and what you have is a howlingly bad action film with a cornball villain out to steal a massive amount of United States currency from federal agents.,2013-08-03,16194.0,Cliffhanger
Dave Kehr,fresh,106582.0,Chicago Tribune,"Like the roller-coaster ride Cliffhanger clearly wants to be, the film sends you out pleasantly rattled and wobbly of gait.",2013-08-03,16194.0,Cliffhanger
Jonathan Rosenbaum,rotten,106582.0,Chicago Reader,It's hard to think of a movie my feelings have been more divided on.,2013-08-02,16194.0,Cliffhanger
Richard Schickel,fresh,106582.0,TIME Magazine,"We are not at Cliffhanger for realism; we're there for the cliffhanging, and there's plenty of it.",2010-07-25,16194.0,Cliffhanger
Owen Gleiberman,fresh,106582.0,Entertainment Weekly,"Despite the don't-look-down Olympian settings, Cliffhanger's spirit is brutal and earthbound. The movie is like one of those computer-designed simulator rides that whip you around until you're dizzy and aching but don't actually take you anywhere.",2010-07-07,16194.0,Cliffhanger
Todd McCarthy,fresh,106582.0,Variety,Cliffhanger lives up to its title as a two-hour rollercoaster ride that never stops.,2009-03-26,16194.0,Cliffhanger
Geoff Andrew,rotten,106582.0,Time Out,"Fun for the undemanding, but Stallone's 'comeback' should have been much tighter.",2006-06-24,16194.0,Cliffhanger
Janet Maslin,fresh,106582.0,New York Times,"Cliffhanger, the new high-altitude thriller starring Sylvester Stallone, wastes no time in establishing its first priority, that of sending its audience into a cold sweat.",2003-05-20,16194.0,Cliffhanger
Roger Ebert,fresh,106582.0,Chicago Sun-Times,"Cliffhanger is a device to entertain us, and it works, especially during those moments when Stallone is hanging by his fingernails over a three-mile fall, and the bad guys are stomping on him.",2000-01-01,16194.0,Cliffhanger
Rita Kempley,rotten,106582.0,Washington Post,"A predictably thick-headed, occasionally plodding bacchanalia of blood, grunts and testosterone.",2000-01-01,16194.0,Cliffhanger
James Berardinelli,rotten,106582.0,ReelViews,"Whether Cliffhanger will bring Stallone's name back into the top echelon of action movie stars has yet to be determined, but if this film can't, the task may be impossible.",2000-01-01,16194.0,Cliffhanger
Desson Thomson,fresh,106582.0,Washington Post,"Just pull the plug on your judgment, good sense and values. Remember to leave enough motor skills to face forward -- that's where the screen is.",2000-01-01,16194.0,Cliffhanger
Desmond Ryan,rotten,109456.0,Philadelphia Inquirer,"The killer may find his target, but Color of Night fails to hit the nail on the head by a frustrating margin.",2013-05-17,13567.0,Color of Night
Jay Boyar,rotten,109456.0,Orlando Sentinel,I'm tempted to go ahead and explain just exactly how transparent -- and implausible -- this mystery is. But then I don't want to spoil it for people who are even worse than I am at this sort of thing. People like Forrest Gump.,2013-05-17,13567.0,Color of Night
John Hartl,rotten,109456.0,Seattle Times,"Mundane sex scenes, a standard L.A. car chase and Bakula's outrageously gory death scene (which plays like an unintentional parody) are all part of the predictable script.",2013-05-17,13567.0,Color of Night
Jonathan Rosenbaum,fresh,109456.0,Chicago Reader,"The plot gets so convoluted and farfetched that you still may be scratching your head after the denouement, but you probably won't be bored.",2013-05-17,13567.0,Color of Night
Michael Wilmington,fresh,109456.0,Chicago Tribune,"It's a psycho-erotic thriller with more twists and shocks than the rattlesnake which, at one point, leaps out at star Bruce Willis-from a location we won't describe. (It would spoil one of the several dozen surprises.)",2013-05-17,13567.0,Color of Night
Gene Siskel,rotten,109456.0,Chicago Tribune,Color of Night and North represent the nadir of Willis' plummeting film career. He can be a most engaging talent; his script selection of late has been awful.,2013-05-17,13567.0,Color of Night
Owen Gleiberman,rotten,109456.0,Entertainment Weekly,A deliriously brain-dead erotic thriller.,2011-09-07,13567.0,Color of Night
Todd McCarthy,rotten,109456.0,Variety,Color of Night is a knuckleheaded thriller that means to get a rise out of audiences but will merely make them see red.,2009-03-26,13567.0,Color of Night
Trevor Johnston,rotten,109456.0,Time Out,This -- another of Willis's crimes against celluloid -- is a special kind of bad.,2006-02-09,13567.0,Color of Night
Janet Maslin,rotten,109456.0,New York Times,"The enthusiastically nutty Color of Night has the single-mindedness of a bad dream, and about as much reliance on everyday logic.",2003-05-20,13567.0,Color of Night
James Berardinelli,rotten,109456.0,ReelViews,"Where's John McClane when you need him? If nothing else, the main character from the two Die Hard films would have livened up proceedings in this pathetically inept psychological thriller.",2000-01-01,13567.0,Color of Night
Desson Thomson,rotten,109456.0,Washington Post,A clunker ripe for hecklers and oglers.,2000-01-01,13567.0,Color of Night
Rita Kempley,rotten,109456.0,Washington Post,A convoluted psychosexual thriller that promises the moon and gives us Bruce's butt.,2000-01-01,13567.0,Color of Night
Roger Ebert,rotten,109456.0,Chicago Sun-Times,Color of Night approaches badness from so many directions that one really must admire its imagination.,2000-01-01,13567.0,Color of Night
Leonard Klady,rotten,109480.0,Variety,"Trapped in a sitcom sensibility, the film never makes the vital connection with the audience that's necessary to spawn a hit.",2008-06-30,12171.0,Cops and Robbersons
Jonathan Rosenbaum,rotten,109480.0,Chicago Reader,"Chevy Chase returns to the anonymous, unmemorable suburban mode that made his earlier movies profitable. And guess what? The results are anonymous and unmemorable.",2008-06-30,12171.0,Cops and Robbersons
Janet Maslin,rotten,109480.0,New York Times,"In Cops and Robbersons, Chevy Chase has an unfortunate chance to prove that there's something even more unfunny than his disastrous talk show.",2003-05-20,12171.0,Cops and Robbersons
Richard Harrington,rotten,109480.0,Washington Post,"Chevy Chase is lucky Cops and Robbersons isn't a sitcom. If it were, it would be canceled as pronto as his talk show was.",2000-01-01,12171.0,Cops and Robbersons
Roger Ebert,rotten,109480.0,Chicago Sun-Times,Know what this sounds like? It sounds like a screenplay.,2000-01-01,12171.0,Cops and Robbersons
Richard Schickel,fresh,106673.0,TIME Magazine,"A genial, expertly played political comedy proves that the spirit of Mr. Smith still lives.",2013-08-02,10250.0,Dave
Jeff Shannon,fresh,106673.0,Seattle Times,"It's impossible to say whether Dave will play as wonderfully over the decades as it does right now, but this smooth-as-silk comedy could not be more timely, or connect more hopefully with our current national consciousness.",2013-08-02,10250.0,Dave
Steven Rea,fresh,106673.0,Philadelphia Inquirer,"While it's sloppy and draggy in parts, Kevin Kline, in the title role, delivers an ingratiating comedic performance.",2013-08-02,10250.0,Dave
Jay Boyar,fresh,106673.0,Orlando Sentinel,Kline is so polished and resourceful that he can glide his way through even the creakiest bits and make them seem fresh.,2013-08-02,10250.0,Dave
Kenneth Turan,fresh,106673.0,Los Angeles Times,"Though replete with amusing situations and clever lines, its strongest suit is the delicately pitched comic performances of its actors, most especially star Kevin Kline.",2013-08-02,10250.0,Dave
Terrence Rafferty,rotten,106673.0,New Yorker,"After the promisingly nasty beginning, the filmmakers settle into a sort of campaign mode, lulling and flattering the audience with a fairy-tale vision of the common man's victory over the Washington establishment.",2013-08-02,10250.0,Dave
Gene Siskel,fresh,106673.0,Chicago Tribune,"Dave has been directed by Ivan Reitman in a refreshingly restrained fashion -- there are plenty of quiet passages, rare for American movies these days -- which compliments Kevin Kline's wonderful work as well.",2013-08-02,10250.0,Dave
Dave Kehr,fresh,106673.0,Chicago Tribune,"It's a beautifully proportioned, wonderfully complete movie.",2013-08-02,10250.0,Dave
Owen Gleiberman,fresh,106673.0,Entertainment Weekly,"For all its modest charm, Dave is a true throwback to the Capra days, a political comedy just cockeyed enough to triumph over cynicism.",2011-09-07,10250.0,Dave
Jonathan Rosenbaum,fresh,106673.0,Chicago Reader,"An overall mood of sweetness may help one to forgive the archaic and childish aspects of the would-be analysis, which splits everyone between angels and devils.",2009-02-02,10250.0,Dave
Stephen Garrett,fresh,106673.0,Time Out,A buoyant comedy in the Capra tradition.,2006-01-26,10250.0,Dave
Janet Maslin,fresh,106673.0,New York Times,"In spite of this sogginess, and despite a self-congratulatory, do-gooder streak that the film discovers within Dave, this comedy remains bright and buoyant much of the way through.",2003-05-20,10250.0,Dave
Peter Travers,fresh,106673.0,Rolling Stone,[Mixes] comedy and corn with surprising savvy.,2001-05-12,10250.0,Dave
Brian Lowry,fresh,106673.0,Variety,"A delightful, buoyant new take on an old theme.",2001-02-13,10250.0,Dave
James Berardinelli,fresh,106673.0,ReelViews,"A highly-enjoyable, fresh, and energetic motion picture that even the most hard-bitten cynic will be hard-pressed to condemn.",2000-01-01,10250.0,Dave
Rita Kempley,fresh,106673.0,Washington Post,Offers feel-good guffaws.,2000-01-01,10250.0,Dave
Desson Thomson,fresh,106673.0,Washington Post,"Will hit the warm, gushy spot for a lot of people.",2000-01-01,10250.0,Dave
Roger Ebert,fresh,106673.0,Chicago Sun-Times,Wonderful lighthearted entertainment.,2000-01-01,10250.0,Dave
Variety Staff,fresh,106677.0,Variety,"The teenage wasteland, 1976-style, of Dazed and Confused is smack-dab between The Brady Bunch and Children of the Damned , and it's a scary, if sometimes giddily amusing, place to visit.",2011-08-08,13761.0,Dazed and Confused
Richard Corliss,fresh,106677.0,TIME Magazine,Bet it makes you wanna dance.,2011-08-08,13761.0,Dazed and Confused
,fresh,106677.0,Time Out,"Seriously funny, and shorn of any hint of nostalgia or wish-fulfilment, this is pretty much where it's at.",2007-08-16,13761.0,Dazed and Confused
Jonathan Rosenbaum,fresh,106677.0,Chicago Reader,"A better-than-average teen movie but not much more, at least if you aren't a member of Linklater's generation.",2007-07-19,13761.0,Dazed and Confused
,fresh,106677.0,Time Out New York,"Seriously funny, and shorn of any hint of nostalgia or wish-fulfilment, this is pretty much where it's at.",2006-01-26,13761.0,Dazed and Confused
Janet Maslin,fresh,106677.0,New York Times,"Dazed and Confused has an enjoyably playful spirit, one that amply compensates for its lack of structure.",2003-05-20,13761.0,Dazed and Confused
Peter Travers,fresh,106677.0,Rolling Stone,"The ultimate party movie -- loud, crude, socially irresponsible and totally irresistible.",2001-05-12,13761.0,Dazed and Confused
Desson Thomson,fresh,106677.0,Washington Post,"Succeeds on its own terms and reflects American culture so well, it becomes part of it.",2000-01-01,13761.0,Dazed and Confused
James Berardinelli,rotten,106677.0,ReelViews,This is light entertainment -- nothing groundbreaking or even especially noteworthy.,2000-01-01,13761.0,Dazed and Confused
Roger Ebert,fresh,106677.0,Chicago Sun-Times,"The film's real inspiration, I think, is to depict some high school kids from the 1970s with such unblinking attention that we will realize how romanticized most movie teenagers are.",2000-01-01,13761.0,Dazed and Confused
Owen Gleiberman,fresh,106677.0,Entertainment Weekly,"Once every decade or so, a movie captures the hormone-drenched, fashion- crazed, pop-song-driven rituals of American youth culture with such loving authenticity that it comes to seem a kind of anthem.",1993-09-10,13761.0,Dazed and Confused
Richard Schickel,rotten,106697.0,TIME Magazine,Ultimately the script's often sharp social satire is drowned out by the noise and confusion. It is also undercut by casting virtually all the psychopathically murderous criminals as minority-group members.,2010-07-25,13431.0,Demolition Man
Jonathan Rosenbaum,rotten,106697.0,Chicago Reader,"Nearly all the SF premises are accorded the status of Andrew Dice Clay one-liners -- which means that they, along with the characters, keep changing from one scene to the next.",2008-04-30,13431.0,Demolition Man
Emanuel Levy,rotten,106697.0,Variety,"A noisy, soulless, self-conscious pastiche that mixes elements of sci-fi, action-adventure and romance, then pours on a layer of comedy replete with Hollywood in-jokes.",2008-04-30,13431.0,Demolition Man
,fresh,106697.0,Time Out,"Forget your preconceptions, but not your brain cells and sense of irony.",2006-01-26,13431.0,Demolition Man
Vincent Canby,fresh,106697.0,New York Times,"Demolition Man is a significant artifact of our time or, at least, of this week.",2003-05-20,13431.0,Demolition Man
Peter Travers,rotten,106697.0,Rolling Stone,"Demolition Man is sleek and empty as well as brutal and pointless. It feels computer engineered, untouched by human hands. A real pod movie.",2001-05-12,13431.0,Demolition Man
James Berardinelli,rotten,106697.0,ReelViews,"In the end, that's all this film is: flames, flying bullets, and special effects. It could be worse, I suppose, but as long as people go into this film with their eyes open, there shouldn't be any surprises.",2000-01-01,13431.0,Demolition Man
Hal Hinson,fresh,106697.0,Washington Post,"Basically, Demolition Man is a futuristic cop picture with slightly more imagination and wit than the typical example of the slash-and-burn genre.",2000-01-01,13431.0,Demolition Man
Emanuel Levy,rotten,109729.0,Variety,"Not as exciting as the first film, this one can't decide whether it's a tarvelogue, an adventure, or National Geographic documentary.",2006-07-05,10732.0,The Endless Summer 2
Stephen Holden,rotten,109729.0,New York Times,"Had The Endless Summer II stuck to its subject, it would be a pleasant diversion. But it is weighed down with frivolous travel vignettes that are as dull as they are cute and contrived.",2003-05-20,10732.0,The Endless Summer 2
Joe Brown,rotten,109729.0,Washington Post,"Pretty hard to sit through, because Brown's incessant beach boy prattle is endlessly irritating.",2000-01-01,10732.0,The Endless Summer 2
Roger Ebert,rotten,109729.0,Chicago Sun-Times,"Although the movie runs 95 minutes, it contains nothing much in the way of information about surfing.",2000-01-01,10732.0,The Endless Summer 2
Hal Hinson,fresh,109729.0,Washington Post,"One of those rare bits of movie marginalia that are entirely without merit and, still, a pleasure to sit through.",2000-01-01,10732.0,The Endless Summer 2
Jack Kroll,rotten,106834.0,Newsweek,There are just too many half-cooked ingredients in this utopian stew of a movie.,2013-01-18,14680.0,Even Cowgirls Get the Blues
Brian Lowry,rotten,106873.0,Variety,The filmmakers have provided critics ample artillery by prominently featuring a skunk in this thuddingly flat spoof of erotic thrillers.,2008-09-30,12162.0,Fatal Instinct
Jonathan Rosenbaum,rotten,106873.0,Chicago Reader,"It's a real pity, because Reiner has certainly been funnier and more inventive on other outings and Sherilyn Fenn makes a winsome gal Friday.",2008-09-30,12162.0,Fatal Instinct
Janet Maslin,rotten,106873.0,New York Times,A collection of gags that vary much too wildly in terms of timing and wit.,2003-05-20,12162.0,Fatal Instinct
Peter Travers,rotten,106873.0,Rolling Stone,Small jokes are buried under elaborate setups. Sight gags are repeated to the point of exhaustion.,2001-05-12,12162.0,Fatal Instinct
Roger Ebert,rotten,106873.0,Chicago Sun-Times,"Maybe you'll be in the right mood and like this stuff. It looks good, and the actors are several notches above the usual parody cast in ability. And yet...",2000-01-01,12162.0,Fatal Instinct
Rita Kempley,rotten,106873.0,Washington Post,"Lacking in both inspiration and ingenuity, it doesn't so much spoof the conventions of the genre as dumb down famous -- and in some cases, forgotten -- scenes from a slew of other movies.",2000-01-01,12162.0,Fatal Instinct
James Berardinelli,rotten,106873.0,ReelViews,"If I see another send-up of Sharon Stone's character in Basic Instinct, I think I'll walk out of the theater.",2000-01-01,12162.0,Fatal Instinct
Richard Corliss,fresh,106332.0,TIME Magazine,"The scenes in the Peking Opera School, where boys are caned for doing wrong or right, are no less horrifying than the later tableaus of public humiliation at the hands of the Maoists.",2008-08-12,13016.0,Ba wang bie ji
Jonathan Rosenbaum,fresh,106332.0,Chicago Reader,This is entertaining filmmaking on a grand scale.,2008-08-12,13016.0,Ba wang bie ji
Derek Elley,rotten,106332.0,Variety,Seductively lensed but emotionally uninvolving.,2008-05-21,13016.0,Ba wang bie ji
David Ansen,fresh,106332.0,Newsweek,Chen's remarkable movie uses an unusual love triangle to telescope more than 50 years of tumultuous Chinese history.,2008-04-07,13016.0,Ba wang bie ji
Geoff Andrew,fresh,106332.0,Time Out,"Appropriately operatic, Chen's visually spectacular epic is sumptuous in every respect. Intelligent, enthralling, rhapsodic.",2006-01-26,13016.0,Ba wang bie ji
Vincent Canby,fresh,106332.0,New York Times,One of those very rare film spectacles that deliver just about everything the ads are likely to promise.,2003-05-20,13016.0,Ba wang bie ji
Roger Ebert,fresh,106332.0,Chicago Sun-Times,The film flows with such urgency that all its connections seem logical. And it is filmed with such visual splendor that possible objections are swept aside.,2000-01-01,13016.0,Ba wang bie ji
Desson Thomson,rotten,106332.0,Washington Post,"Like Cheung's ethereally plaintive voice, the movie is a siren song that's appealing at first, but held too long. It becomes an increasing whine.",2000-01-01,13016.0,Ba wang bie ji
Hal Hinson,fresh,106332.0,Washington Post,"The director carries us through this early history with impressive sensitivity; he has a beautiful, graceful touch, both with the camera and with his actors.",2000-01-01,13016.0,Ba wang bie ji
James Berardinelli,fresh,106332.0,ReelViews,A motion picture experience that few will soon forget after leaving the theater.,2000-01-01,13016.0,Ba wang bie ji
Peter Travers,fresh,106880.0,Rolling Stone,The best hip-hop film of all.,2007-08-14,13500.0,Fear of a Black Hat
Emanuel Levy,fresh,106880.0,Variety,"Inspired by This Is Spinal Tap, this mockumentary exposes the trials of a hardcore rap band, N.W.H. (Niggas With Hats) with wild, irreverent humor and exuberant music.",2006-06-30,13500.0,Fear of a Black Hat
,rotten,106880.0,Time Out,"While individual interviews, pop-video parodies and album titles hit the mark, the film as a whole is insufficiently clear-cut in its satire of the bands' dubious antics and attitudes.",2006-01-26,13500.0,Fear of a Black Hat
Janet Maslin,fresh,106880.0,New York Times,"If Mr. Cundieff doesn't match the satirical genius of Mr. Reiner's film, he does understand the rules of the game.",2003-05-20,13500.0,Fear of a Black Hat
Roger Ebert,fresh,106880.0,Chicago Sun-Times,"Not as fearless and sharp-edged as it could be -- but it provides a lot of laughs, and barbecues a few sacred cows.",2000-01-01,13500.0,Fear of a Black Hat
James Berardinelli,fresh,106880.0,ReelViews,"This movie is not tightly-scripted or elegantly produced, but it is (for the most part) highly entertaining. For those who have been waiting for a sequel to Spinal Tap, this may be the best alternative.",2000-01-01,13500.0,Fear of a Black Hat
Michael Snyder,fresh,106880.0,San Francisco Chronicle,"As it recounts the history of N.W.H., the film also manages to lampoon rap music and its archetypes, as well as poking fun at the venal, self-serving music-business types looking to grab easy money from the scene.",2000-01-01,13500.0,Fear of a Black Hat
Richard Harrington,fresh,106880.0,Washington Post,"Fear of a Black Hat is not brilliant, but it's bright enough.",2000-01-01,13500.0,Fear of a Black Hat
Richard Corliss,rotten,106918.0,TIME Magazine,Tom Cruise heads a tony cast in a best-seller movie that is firm at the start and infirm by the end.,2008-05-26,16446.0,The Firm
Owen Gleiberman,fresh,106918.0,Entertainment Weekly,The Firm amusingly satirizes the New Traditionalist aspirations of today's young urban elite -- not so much the lifestyle itself as the illusion of utter security it represents.,2008-05-26,16446.0,The Firm
Todd McCarthy,fresh,106918.0,Variety,A smooth adaptation of John Grisham's giant bestseller that is destined to be one of the summer's strong audience pleasers.,2008-05-26,16446.0,The Firm
Wally Hammond,fresh,106918.0,Time Out,"Adorning the film, in supporting roles, are its saving graces.",2006-01-26,16446.0,The Firm
Vincent Canby,rotten,106918.0,New York Times,The movie is extremely long (two hours and 34 minutes) and so slow that by the end you feel as if you've been standing up even if you've been sitting down.,2003-05-20,16446.0,The Firm
Peter Travers,rotten,106918.0,Rolling Stone,"The book moved at turbo speed. At two and a half hours, the movie crawls.",2001-05-12,16446.0,The Firm
Roger Ebert,fresh,106918.0,Chicago Sun-Times,"With a screenplay that developed the story more clearly, this might have been a superior movie, instead of just a good one with some fine performances.",2000-01-01,16446.0,The Firm
Rita Kempley,rotten,106918.0,Washington Post,"Pollack makes a solid job of it, as does Cruise. But solid isn't enough when it comes to thrillers -- or courtroom dramas, for that matter. Solid is great when it comes to office furniture.",2000-01-01,16446.0,The Firm
Joe Brown,fresh,106918.0,Washington Post,"Cruise was born to play company man, and the role is an opportunity to sum up his old roles and transcend them with his most potently emotional work.",2000-01-01,16446.0,The Firm
James Berardinelli,rotten,106918.0,ReelViews,"Very little of what made the written version so enjoyable has been successfully translated to the screen, and what we're left with instead is an overly-long (two hours and thirty-four minutes, to be exact), pedantic thriller.",2000-01-01,16446.0,The Firm
Jeff Shannon,fresh,106977.0,Seattle Times,"The film is little more than a well-oiled machine that serves a strictly limited function, but like a precision timepiece, it is a thing to marvel at, even under close scrutiny.",2013-07-29,12168.0,The Fugitive
Peter Travers,fresh,106977.0,Rolling Stone,"For dynamite suspense loaded with thrills and wicked fun, you can't beat The Fugitive.",2013-07-29,12168.0,The Fugitive
Gene Siskel,fresh,106977.0,Chicago Tribune,I've already seen The Fugitive twice. I'll probably see it again.,2013-07-29,12168.0,The Fugitive
Steven Rea,fresh,106977.0,Philadelphia Inquirer,"Thoroughly engaging, edge-of-the-seat entertainment.",2013-07-29,12168.0,The Fugitive
Jay Boyar,rotten,106977.0,Orlando Sentinel,"While there are actors in this film, there isn't much room for acting. The rapid editing and near-absence of dialogue reduces the actors to action figures with colorful labels pasted on their foreheads.",2013-07-29,12168.0,The Fugitive
Kenneth Turan,fresh,106977.0,Los Angeles Times,"The Fugitive is a super-adrenalized stemwinder, a crisp and jolting melodrama that screws the tension so pitilessly tight it does everything but squeak.",2013-07-29,12168.0,The Fugitive
Anthony Lane,fresh,106977.0,New Yorker,"It's a pleasure to find a thriller fulfilling its duties with such gusto: the emotions ring solid, the script finds time to relax into backchat, and for once the stunts look like acts of desperation rather than shows of prowess.",2013-07-29,12168.0,The Fugitive
Owen Gleiberman,fresh,106977.0,Entertainment Weekly,It isn't just a high-powered summer blockbuster. It's something cannier (and rarer): a suspense thriller rooted in character.,2010-07-06,12168.0,The Fugitive
Richard Schickel,fresh,106977.0,TIME Magazine,A first-rate thriller.,2008-08-24,12168.0,The Fugitive
Leonard Klady,fresh,106977.0,Variety,"A consummate nail-biter that never lags, it leaves you breathless from the chase yet anxious for the next bit of mayhem or clever plot twist.",2008-05-20,12168.0,The Fugitive
Jonathan Rosenbaum,fresh,106977.0,Chicago Reader,"Though it's a good half hour too long, this overblown 1993 spin-off of the 60s TV show otherwise adds up to a pretty good suspense thriller.",2008-05-20,12168.0,The Fugitive
Geoff Andrew,fresh,106977.0,Time Out,"A glossy, formula chase movie with the requisite number of extravagant action sequences (most notably a massive train crash).",2006-01-26,12168.0,The Fugitive
Janet Maslin,fresh,106977.0,New York Times,"Both stars have toughness and restraint that make their characters' battle of wits truly hypnotic, and in many ways more credible than it was on television.",2003-05-20,12168.0,The Fugitive
Desson Thomson,fresh,106977.0,Washington Post,"A juggernaut of exaggeration, momentum and thrills.",2000-01-01,12168.0,The Fugitive
James Berardinelli,fresh,106977.0,ReelViews,"""Innovative"" is not a legitimate description of The Fugitive, but ""entertaining"" is.",2000-01-01,12168.0,The Fugitive
Roger Ebert,fresh,106977.0,Chicago Sun-Times,Davis paints with bold visual strokes so that the movie rises above its action-film origins and becomes operatic.,2000-01-01,12168.0,The Fugitive
Rita Kempley,fresh,106977.0,Washington Post,"A flurry of stunts, close shaves and deeds of desperate daring, it easily transcends its television origins to become a stylish pacemaker-buster on the order of ""Die Hard, MD.""",2000-01-01,12168.0,The Fugitive
Roger Ebert,fresh,107004.0,Chicago Sun-Times,A film of great beauty and considerable intelligence.,2000-01-01,11187.0,Geronimo: An American Legend
Dennis Harvey,fresh,971209.0,Variety,A big-reveal thriller with surprises that really do surprise -- and are worth waiting for through an audaciously long buildup.,2009-12-18,770803513.0,A Perfect Getaway
Cliff Doerksen,rotten,971209.0,Chicago Reader,Writer-director David Twohy (Pitch Black) serves up mechanical thrills culminating in a bogus twist ending,2009-08-20,770803513.0,A Perfect Getaway
Michael Phillips,fresh,971209.0,Chicago Tribune,"A Perfect Getaway is a little better -- well, a little stranger -- than most of the disposables this summer.",2009-08-14,770803513.0,A Perfect Getaway
Nigel Floyd,fresh,971209.0,Time Out,"David Twohy's taut, palm-sweating thriller has two things going for it: it keeps you guessing and it doesn't insult your intelligence.",2009-08-14,770803513.0,A Perfect Getaway
Joshua Rothkopf,rotten,971209.0,Time Out New York,"The aesthetic is closer to a grand finale of Survivor than anything else, and while all the actors do scrappy work, they don't have much psychology to play with -- unlike a fun, class-conscious wilderness tale like The Edge.",2009-08-12,770803513.0,A Perfect Getaway
Ben Mankiewicz,rotten,971209.0,At the Movies,I just don't think there was enough drama in the first two-thirds of this movie.,2009-08-10,770803513.0,A Perfect Getaway
Ben Lyons,rotten,971209.0,At the Movies,"A terrific twist, but goes wasted in a movie that really runs out of steam.",2009-08-10,770803513.0,A Perfect Getaway
Stephen Cole,fresh,971209.0,Globe and Mail,A Perfect Getaway is the rarest of film treats -- a B-movie that knows where it's going and how to get there.,2009-08-07,770803513.0,A Perfect Getaway
Lou Lumenick,fresh,971209.0,New York Post,"Twohy serves up a hard-to-swallow second-act twist and an unconvincing back story, but the slightly overlong A Perfect Getaway recovers with a pulse-pounding climax.",2009-08-07,770803513.0,A Perfect Getaway
Joe Neumaier,rotten,971209.0,New York Daily News,"The result isn't deadly dull, but it does turn what should have been a most dangerous game into a basic scenery-chewing contest.",2009-08-07,770803513.0,A Perfect Getaway
Stephen Whitty,fresh,971209.0,Newark Star-Ledger,"A Perfect Getaway is one of those very clever whodunits that keeps you guessing for quite awhile. But on the way home, as you replay its tricks, you may feel more conned than charmed.",2009-08-07,770803513.0,A Perfect Getaway
Glenn Whipp,fresh,971209.0,Los Angeles Times,"Twohy correctly banks on the fact that his audience will be too busy sifting through those aforementioned ""red snappers"" to care about the details.",2009-08-07,770803513.0,A Perfect Getaway
Connie Ogle,fresh,971209.0,Miami Herald,"For a low-brow, psycho-on-the-loose-in-paradise thriller, A Perfect Getaway is surprisingly entertaining, with exactly the right elements to overcome the inevitable cliches.",2009-08-07,770803513.0,A Perfect Getaway
Kirk Honeycutt,rotten,971209.0,Hollywood Reporter,"A gimmicky, tricked-out tale that is all too self-aware. But the film does keep you guessing and probably guessing wrong.",2009-08-07,770803513.0,A Perfect Getaway
Adam Graham,rotten,971209.0,Detroit News,"Viewers know the gotcha is coming not only because they've been groomed to expect a third-act left turn in movies like this, but because the film's characters won't stop talking about it.",2009-08-07,770803513.0,A Perfect Getaway
